Material Description,Material No,date,Plant,sales,UOM,Total Actual Cost
AMRITHA JASMINE (1X144),6010000653,13.02.2017,1007,"47,520.00",EA,"882,977.35"
AMRITHA JASMINE (1X144),6010000653,14.02.2017,1007,"47,520.00",EA,"928,030.47"
AMRITHA JASMINE (1X144),6010000653,15.02.2017,1007,"23,760.00",EA,"423,653.29"
AMRITHA JASMINE (1X144),6010000653,17.02.2017,1007,"12,960.00",EA,"211,254.16"
AMRITHA JASMINE (1X144),6010000653,18.02.2017,1007,"47,520.00",EA,"934,578.82"
AMRITHA JASMINE (1X144),6010000653,21.02.2017,1007,"45,648.00",EA,"915,056.69"
AMRITHA JASMINE (1X144),6010000653,04.03.2017,1007,"23,760.00",EA,"443,299.73"
AMRITHA JASMINE (1X144),6010000653,06.03.2017,1007,"47,520.00",EA,"833,133.30"
AMRITHA JASMINE (1X144),6010000653,07.03.2017,1007,"47,520.00",EA,"864,118.06"
AMRITHA JASMINE (1X144),6010000653,08.03.2017,1007,"41,760.00",EA,"771,755.79"
AMRITHA JASMINE (1X144),6010000653,14.03.2017,1007,"8,208.00",EA,"144,298.61"
AMRITHA JASMINE (1X144),6010000653,15.03.2017,1007,"1,296.00",EA,"27,153.33"
AMRITHA JASMINE (1X144),6010000653,18.03.2017,1007,"47,520.00",EA,"939,534.93"
AMRITHA JASMINE (1X144),6010000653,20.03.2017,1007,"47,520.00",EA,"928,219.11"
AMRITHA JASMINE (1X144),6010000653,22.03.2017,1007,"47,520.00",EA,"936,917.58"
AMRITHA JASMINE (1X144),6010000653,25.03.2017,1007,"15,120.00",EA,"267,629.54"
AMRITHA JASMINE (1X144),6010000653,30.03.2017,1007,"2,448.00",EA,"42,553.27"
AMRITHA JASMINE (1X144),6010000653,30.03.2017,1007,"47,520.00",EA,"941,734.16"
AMRITHA JASMINE (1X144),6010000653,31.03.2017,1007,"1,728.00",EA,"29,868.52"
AMRITHA JASMINE (1X144),6010000653,03.04.2017,1007,"23,760.00",EA,"454,986.45"
AMRITHA JASMINE (1X144),6010000653,04.04.2017,1007,"47,520.00",EA,"893,420.65"
